# time / ns	pulse height / V	pulse height error / V
# LL-504BC2E-B4-2CC LED luminosity with linear interpolation
# fwhm 12 ns 
pdf: tabular
	x / ns	pdf
	-1.265408272727272809e+01	 0.000000000000000000e+00	
	-1.225408272727272596e+01	 0.000000000000000000e+00	
	-1.185408272727273626e+01	 0.000000000000000000e+00	
	-1.145408272727272525e+01	 0.000000000000000000e+00	
	-1.105408272727272490e+01	 0.000000000000000000e+00	
	-1.065408272727272809e+01	 0.000000000000000000e+00	
	-1.025408272727272596e+01	 0.000000000000000000e+00	
	-9.854083636363634824e+00	 0.000000000000000000e+00	
	-9.454083636363636245e+00	 0.000000000000000000e+00	
	-9.054083636363639442e+00	 0.000000000000000000e+00	
	-8.654083636363635534e+00	 0.000000000000000000e+00	
	-8.254083636363636955e+00	 0.000000000000000000e+00	
	-7.854083636363633047e+00	 0.000000000000000000e+00	
	-7.454083636363636245e+00	 0.000000000000000000e+00	
	-7.054083636363639442e+00	 0.000000000000000000e+00	
	-6.654083636363635534e+00	 0.000000000000000000e+00	
	-6.254083636363638732e+00	 0.000000000000000000e+00	
	-5.854083636363635712e+00	 0.000000000000000000e+00	
	-5.454083636363635357e+00	 0.000000000000000000e+00	
	-5.054083636363636778e+00	 0.000000000000000000e+00	
	-4.654083636363635534e+00	 0.000000000000000000e+00	
	-4.254083636363637844e+00	 0.000000000000000000e+00	
	-3.854083636363636156e+00	 0.000000000000000000e+00	
	-3.454083636363635801e+00	 0.000000000000000000e+00	
	-3.054083636363636334e+00	 0.000000000000000000e+00	
	-2.654083636363635090e+00	 0.000000000000000000e+00	
	-2.254083636363636067e+00	 0.000000000000000000e+00	
	-1.854083636363635934e+00	 0.000000000000000000e+00	
	-1.454083636363636689e+00	 0.000000000000000000e+00	
	-1.054083636363636334e+00	 0.000000000000000000e+00	
	-6.540841727272728168e-01	 5.406675434377331002e-02
	-2.540841727272726835e-01	 2.612688612700777568e+00	
	1.459158272727271999e-01	 6.427351731436452553e+00	
	5.459158272727273609e-01	 9.848611575742538093e+00	
	9.459158272727271610e-01	 1.272588757648213686e+01	
	1.345916363636363355e+00	 1.485298332825260559e+01	
	1.745916363636363489e+00	 1.603319564856633406e+01	
	2.145916363636363400e+00	 1.636419603273417067e+01	
	2.545916363636362867e+00	 1.605354398627473245e+01	
	2.945916363636364110e+00	 1.523960394921580530e+01	
	3.345916363636363577e+00	 1.411229812091458768e+01	
	3.745916363636362600e+00	 1.269197297372959099e+01	
	4.145916363636364288e+00	 1.125265695474810457e+01	
	4.545916363636365531e+00	 1.006837533911468796e+01	
	4.945916363636362334e+00	 9.228661056089592307e+00	
	5.345916363636362689e+00	 8.615493174641017049e+00	
	5.745916363636363045e+00	 8.265499256313759702e+00	
	6.145916363636364288e+00	 8.276351827448202414e+00	
	6.545916363636362867e+00	 8.531386486010099190e+00	
	6.945916363636361446e+00	 9.017036715133052382e+00	
	7.345916363636364466e+00	 9.641056879434742655e+00	
	7.745916363636361268e+00	 1.022166725860365943e+01	
	8.145916363636366953e+00	 1.066390712433541665e+01	
	8.545916363636361979e+00	 1.084568714819020130e+01	
	8.945916363636360558e+00	 1.098541431102471222e+01	
	9.345916363636360913e+00	 1.089859414893453504e+01	
	9.745916363636363045e+00	 1.055945107205376843e+01	
	1.014591727272726374e+01	 9.755008492253978147e+00	
	1.054591727272727475e+01	 8.618206275030310337e+00	
	1.094591727272727688e+01	 7.090712848497226162e+00	
	1.134591727272727724e+01	 5.340742663340577678e+00	
	1.174591727272727404e+01	 3.417132832312594459e+00	
	1.214591727272726196e+01	 1.558636851022836112e+00	
	1.254591727272727830e+01	 2.088137681023045367e-01	
	1.294591727272727688e+01	 0.000000000000000000e+00	
	1.334591727272727191e+01	 0.000000000000000000e+00	
	1.374591727272727049e+01	 0.000000000000000000e+00	
	1.414591727272726551e+01	 0.000000000000000000e+00	
	1.454591727272727830e+01	 0.000000000000000000e+00	
	1.494591727272727510e+01	 0.000000000000000000e+00	
	1.534591727272727368e+01	 0.000000000000000000e+00	
	1.574591727272727049e+01	 0.000000000000000000e+00	
	1.614591727272726729e+01	 0.000000000000000000e+00	
	1.654591727272727653e+01	 0.000000000000000000e+00	
	1.694591727272727510e+01	 0.000000000000000000e+00	
	1.734591727272727724e+01	 0.000000000000000000e+00	
	1.774591727272727582e+01	 0.000000000000000000e+00	
	1.814591727272726729e+01	 0.000000000000000000e+00	
	1.854591727272726942e+01	 0.000000000000000000e+00	
	1.894591727272727510e+01	 0.000000000000000000e+00	
	1.934591727272727724e+01	 0.000000000000000000e+00	
	1.974591727272726516e+01	 0.000000000000000000e+00	
	2.014591727272727084e+01	 0.000000000000000000e+00	
	2.054591727272727297e+01	 0.000000000000000000e+00	
	2.094591727272727510e+01	 0.000000000000000000e+00	
	2.134591727272727724e+01	 0.000000000000000000e+00	
	2.174591727272726160e+01	 0.000000000000000000e+00	
	2.214591727272727439e+01	 0.000000000000000000e+00	
	2.254591727272726587e+01	 0.000000000000000000e+00	
	2.294591727272727866e+01	 0.000000000000000000e+00	
	2.334591727272727368e+01	 0.000000000000000000e+00	
	2.374591727272726160e+01	 0.000000000000000000e+00	
	2.414591727272727439e+01	 0.000000000000000000e+00	
	2.454591727272726587e+01	 0.000000000000000000e+00	
	2.494591727272727866e+01	 0.000000000000000000e+00	
	2.534591727272727724e+01	 0.000000000000000000e+00	
	2.574591727272726160e+01	 0.000000000000000000e+00	
	2.614591727272728150e+01	 0.000000000000000000e+00	
	2.654591727272727297e+01	 0.000000000000000000e+00	
	2.694591727272727866e+01	 0.000000000000000000e+00	
	2.734591727272727368e+01	 0.000000000000000000e+00	
	2.774591727272725805e+01	 0.000000000000000000e+00	
	2.814591727272727439e+01	 0.000000000000000000e+00	
	2.854591727272727297e+01	 0.000000000000000000e+00	
	2.894591727272727510e+01	 0.000000000000000000e+00	
	2.934591727272727013e+01	 0.000000000000000000e+00	
	2.974591727272725450e+01	 0.000000000000000000e+00	
	3.014591727272728150e+01	 0.000000000000000000e+00	
	3.054591727272728008e+01	 0.000000000000000000e+00	
	3.094591727272727866e+01	 0.000000000000000000e+00	
	3.134591727272726658e+01	 0.000000000000000000e+00	
	3.174591727272725805e+01	 0.000000000000000000e+00	
	3.214591727272728150e+01	 0.000000000000000000e+00	
	3.254591727272727297e+01	 0.000000000000000000e+00	
	3.294591727272727155e+01	 0.000000000000000000e+00	
	3.334591727272727013e+01	 0.000000000000000000e+00	
	3.374591727272725450e+01	 0.000000000000000000e+00	
	3.414591727272728150e+01	 0.000000000000000000e+00	
	3.454591727272728008e+01	 0.000000000000000000e+00	
	3.494591727272726445e+01	 0.000000000000000000e+00	
	3.534591727272727013e+01	 0.000000000000000000e+00	
	3.574591727272725450e+01	 0.000000000000000000e+00	
	3.614591727272728150e+01	 0.000000000000000000e+00	
	3.654591727272728008e+01	 0.000000000000000000e+00	
	3.694591727272727155e+01	 0.000000000000000000e+00	
	3.734591727272726303e+01	 0.000000000000000000e+00	
	3.774591727272725450e+01	 0.000000000000000000e+00	
	3.814591727272728860e+01	 0.000000000000000000e+00	
	3.854591727272728008e+01	 0.000000000000000000e+00	
	3.894591727272727155e+01	 0.000000000000000000e+00	
	3.934591727272726303e+01	 0.000000000000000000e+00	
	3.974591727272726871e+01	 0.000000000000000000e+00	
	4.014591727272728860e+01	 0.000000000000000000e+00	
	4.054591727272727297e+01	 0.000000000000000000e+00	
	4.094591727272725734e+01	 0.000000000000000000e+00	
	4.134591727272725592e+01	 0.000000000000000000e+00	
	4.174591727272726871e+01	 0.000000000000000000e+00	
	4.214591727272729571e+01	 0.000000000000000000e+00	
	4.254591727272727297e+01	 0.000000000000000000e+00	
	4.294591727272725734e+01	 0.000000000000000000e+00	
	4.334591727272726303e+01	 0.000000000000000000e+00	
	4.374591727272725450e+01	 0.000000000000000000e+00	
	4.414591727272729571e+01	 0.000000000000000000e+00	
	4.454591727272729429e+01	 0.000000000000000000e+00	
	4.494591727272726445e+01	 0.000000000000000000e+00	
	4.534591727272725592e+01	 0.000000000000000000e+00	
	4.574591727272725450e+01	 0.000000000000000000e+00	
	4.614591727272729571e+01	 0.000000000000000000e+00	
	4.654591727272727297e+01	 0.000000000000000000e+00	
	4.694591727272725734e+01	 0.000000000000000000e+00	
	4.734591727272725592e+01	 0.000000000000000000e+00	
	4.774591727272725450e+01	 0.000000000000000000e+00	
	4.814591727272729571e+01	 0.000000000000000000e+00	
	4.854591727272727297e+01	 0.000000000000000000e+00	
	4.894591727272727155e+01	 0.000000000000000000e+00	
	4.934591727272725592e+01	 0.000000000000000000e+00	
	4.974591727272724739e+01	 0.000000000000000000e+00	
	5.014591727272729571e+01	 0.000000000000000000e+00	
	5.054591727272728008e+01	 0.000000000000000000e+00	
	5.094591727272727155e+01	 0.000000000000000000e+00	
	5.134591727272724881e+01	 0.000000000000000000e+00	
	5.174591727272726871e+01	 0.000000000000000000e+00	
	5.214591727272729571e+01	 0.000000000000000000e+00	
	5.254591727272727297e+01	 0.000000000000000000e+00	
	5.294591727272727155e+01	 0.000000000000000000e+00	
	5.334591727272725592e+01	 0.000000000000000000e+00	
	5.374591727272726871e+01	 0.000000000000000000e+00	
	5.414591727272728860e+01	 0.000000000000000000e+00	
	5.454591727272728008e+01	 0.000000000000000000e+00	
	5.494591727272726445e+01	 0.000000000000000000e+00	
	5.534591727272724881e+01	 0.000000000000000000e+00	
	5.574591727272727582e+01	 0.000000000000000000e+00	
	5.614591727272728150e+01	 0.000000000000000000e+00	
	5.654591727272728008e+01	 0.000000000000000000e+00	
	5.694591727272727155e+01	 0.000000000000000000e+00	
	5.734591727272725592e+01	 0.000000000000000000e+00	
	5.774591727272727582e+01	 0.000000000000000000e+00	
	5.814591727272728150e+01	 0.000000000000000000e+00	
	5.854591727272727297e+01	 0.000000000000000000e+00	
	5.894591727272725734e+01	 0.000000000000000000e+00	
	5.934591727272725592e+01	 0.000000000000000000e+00	
	5.974591727272726871e+01	 0.000000000000000000e+00	
	6.014591727272728860e+01	 0.000000000000000000e+00	
	6.054591727272727297e+01	 0.000000000000000000e+00	
	6.094591727272727155e+01	 0.000000000000000000e+00	
	6.134591727272725592e+01	 0.000000000000000000e+00	
	6.174591727272727582e+01	 0.000000000000000000e+00	
	6.214591727272728860e+01	 0.000000000000000000e+00	
	6.254591727272727297e+01	 0.000000000000000000e+00	
	6.294591727272727155e+01	 0.000000000000000000e+00	
	6.334591727272724881e+01	 0.000000000000000000e+00	
	6.374591727272726871e+01	 0.000000000000000000e+00	
	6.414591727272728860e+01	 0.000000000000000000e+00	
	6.454591727272728008e+01	 0.000000000000000000e+00	
	6.494591727272727155e+01	 0.000000000000000000e+00	
	6.534591727272724881e+01	 0.000000000000000000e+00	
	6.574591727272726871e+01	 0.000000000000000000e+00	
	6.614591727272728860e+01	 0.000000000000000000e+00	
	6.654591727272728008e+01	 0.000000000000000000e+00	
	6.694591727272727155e+01	 0.000000000000000000e+00	
	6.734591727272726303e+01	 0.000000000000000000e+00	
	6.774591727272726871e+01	 0.000000000000000000e+00	
	6.814591727272728860e+01	 0.000000000000000000e+00	
	6.854591727272725166e+01	 0.000000000000000000e+00	
	6.894591727272728576e+01	 0.000000000000000000e+00	
	6.934591727272726303e+01	 0.000000000000000000e+00	
	6.974591727272726871e+01	 0.000000000000000000e+00	
	7.014591727272728860e+01	 0.000000000000000000e+00	
	7.054591727272725166e+01	 0.000000000000000000e+00	
	7.094591727272727155e+01	 0.000000000000000000e+00	
	7.134591727272726303e+01	 0.000000000000000000e+00	
	7.174591727272726871e+01	 0.000000000000000000e+00	
	7.214591727272727439e+01	 0.000000000000000000e+00	
	7.254591727272728008e+01	 0.000000000000000000e+00	
	7.294591727272727155e+01	 0.000000000000000000e+00	
	7.334591727272726303e+01	 0.000000000000000000e+00	
	7.374591727272726871e+01	 0.000000000000000000e+00	
	7.414591727272727439e+01	 0.000000000000000000e+00	
	7.454591727272725166e+01	 0.000000000000000000e+00	
	7.494591727272727155e+01	 0.000000000000000000e+00	
	7.534591727272726303e+01	 0.000000000000000000e+00	
	7.574591727272725450e+01	 0.000000000000000000e+00	
	7.614591727272726018e+01	 0.000000000000000000e+00	
	7.654591727272725166e+01	 0.000000000000000000e+00	
	7.694591727272728576e+01	 0.000000000000000000e+00	
	7.734591727272726303e+01	 0.000000000000000000e+00	
	7.774591727272726871e+01	 0.000000000000000000e+00	
	7.814591727272726018e+01	 0.000000000000000000e+00	
	7.854591727272725166e+01	 0.000000000000000000e+00	
