# time / ns	pulse height / V	pulse height error / V
# LL-504BC2E-B4-2CC LED luminosity with linear interpolation
# fwhm 73 ns
pdf: tabular
	x / ns	pdf
	-1.264237333333333524e+01	 0.000000000000000000e+00	
	-1.224237333333333311e+01	 0.000000000000000000e+00	
	-1.184237333333333098e+01	 0.000000000000000000e+00	
	-1.144237333333333417e+01	 0.000000000000000000e+00	
	-1.104237333333333737e+01	 0.000000000000000000e+00	
	-1.064237333333332991e+01	 0.000000000000000000e+00	
	-1.024237333333333311e+01	 0.000000000000000000e+00	
	-9.842374476190475008e+00	 0.000000000000000000e+00	
	-9.442374476190476429e+00	 0.000000000000000000e+00	
	-9.042374476190479626e+00	 0.000000000000000000e+00	
	-8.642374476190472166e+00	 0.000000000000000000e+00	
	-8.242374476190475363e+00	 0.000000000000000000e+00	
	-7.842374476190477672e+00	 0.000000000000000000e+00	
	-7.442374476190473764e+00	 0.000000000000000000e+00	
	-7.042374476190479626e+00	 0.000000000000000000e+00	
	-6.642374476190474830e+00	 0.000000000000000000e+00	
	-6.242374476190475363e+00	 0.000000000000000000e+00	
	-5.842374476190476784e+00	 0.000000000000000000e+00	
	-5.442374476190476429e+00	 0.000000000000000000e+00	
	-5.042374476190474297e+00	 0.000000000000000000e+00	
	-4.642374476190477495e+00	 0.000000000000000000e+00	
	-4.242374476190477139e+00	 0.000000000000000000e+00	
	-3.842374476190475452e+00	 0.000000000000000000e+00	
	-3.442374476190477761e+00	 0.000000000000000000e+00	
	-3.042374476190473853e+00	 0.000000000000000000e+00	
	-2.642374476190477495e+00	 0.000000000000000000e+00	
	-2.242374476190474919e+00	 0.000000000000000000e+00	
	-1.842374476190474786e+00	 0.000000000000000000e+00	
	-1.442374476190476207e+00	 0.000000000000000000e+00	
	-1.042374380952381552e+00	 0.000000000000000000e+00	
	-6.423741714285712279e-01	 0.000000000000000000e+00	
	-2.423741756190476437e-01	 1.829675570584623490e+00	
	1.576258276190475593e-01	 5.891350285704529455e+00	
	5.576258285714283947e-01	 9.549439744421732712e+00	
	9.576257333333332289e-01	 1.263272635320861070e+01	
	1.357625523809523616e+00	 1.473218716231559711e+01	
	1.757625523809523971e+00	 1.604078325141470884e+01	
	2.157625523809524992e+00	 1.636419603273417067e+01	
	2.557625523809522683e+00	 1.585053999922119772e+01	
	2.957625523809526147e+00	 1.478518351141512710e+01	
	3.357625523809522505e+00	 1.341543641021318933e+01	
	3.757625523809523305e+00	 1.182419584376937394e+01	
	4.157625523809524104e+00	 1.020441824592591473e+01	
	4.557625523809522683e+00	 8.868644192895033029e+00	
	4.957625523809526591e+00	 7.902484831533918452e+00	
	5.357625523809523393e+00	 7.398341691053580860e+00	
	5.757625523809525525e+00	 7.145590249895839463e+00	
	6.157625523809523216e+00	 7.080364751543747559e+00	
	6.557625523809525347e+00	 7.394265064495066042e+00	
	6.957625523809520374e+00	 7.943251040213937131e+00	
	7.357625523809525170e+00	 8.723244668584825945e+00	
	7.757625523809524637e+00	 9.510032719567654169e+00	
	8.157625523809521439e+00	 1.002096971106150392e+01	
	8.557625523809523571e+00	 1.025469665713406187e+01	
	8.957625523809520374e+00	 1.025877284204146633e+01	
	9.357625523809529611e+00	 1.023431309967702418e+01	
	9.757625523809526413e+00	 1.009978506873637372e+01	
	1.015762666666666725e+01	 9.772295074821371941e+00	
	1.055762666666666405e+01	 9.239616909905954856e+00	
	1.095762666666666441e+01	 8.678401856278185278e+00	
	1.135762666666666831e+01	 8.319659161630028166e+00	
	1.175762666666666512e+01	 8.215025783149513927e+00	
	1.215762666666666902e+01	 8.254433151981864114e+00	
	1.255762666666666938e+01	 8.266663047794629904e+00	
	1.295762666666667151e+01	 8.325094668804020159e+00	
	1.335762666666666298e+01	 8.439240162331806516e+00	
	1.375762666666666689e+01	 8.724603558542924020e+00	
	1.415762666666666192e+01	 9.008608272032248010e+00	
	1.455762666666666938e+01	 9.223310528523292362e+00	
	1.495762666666667329e+01	 9.352403524516901712e+00	
	1.535762666666666476e+01	 9.387734389943439339e+00	
	1.575762666666666867e+01	 9.443448048430902020e+00	
	1.615762666666666547e+01	 9.508673835554859011e+00	
	1.655762666666666760e+01	 9.473343173967300856e+00	
	1.695762666666667684e+01	 9.414911730467665052e+00	
	1.735762666666666476e+01	 9.361915755072907075e+00	
	1.775762666666666334e+01	 9.333379369163360195e+00	
	1.815762666666667258e+01	 9.247770301463596354e+00	
	1.855762666666666405e+01	 9.160802268215462618e+00	
	1.895762666666666973e+01	 9.003172763159597025e+00	
	1.935762666666666831e+01	 8.880874061529240748e+00	
	1.975762666666666334e+01	 8.776240748447065698e+00	
	2.015762666666666192e+01	 8.677042995197268738e+00	
	2.055762666666666760e+01	 8.580563007425084265e+00	
	2.095762666666667684e+01	 8.516695953982654999e+00	
	2.135762666666666476e+01	 8.503107210678244599e+00	
	2.175762666666667045e+01	 8.524849164633216958e+00	
	2.215762666666665837e+01	 8.581921859163358590e+00	
	2.255762666666666050e+01	 8.641712270759370540e+00	
	2.295762666666666973e+01	 8.734115685480787761e+00	
	2.335762666666667542e+01	 8.918922527663568189e+00	
	2.375762666666666689e+01	 9.134983640988878051e+00	
	2.415762666666665481e+01	 9.311637397372471980e+00	
	2.455762666666665339e+01	 9.383657729411780224e+00	
	2.495762666666667684e+01	 9.361915763566216242e+00	
	2.535762666666668252e+01	 9.394528784527530263e+00	
	2.575762666666666334e+01	 9.401323026232397240e+00	
	2.615762666666665481e+01	 9.378222278293520731e+00	
	2.655762666666665694e+01	 9.299407557615417375e+00	
	2.695762666666666973e+01	 9.207004028234571535e+00	
	2.735762666666667897e+01	 9.118677142398809110e+00	
	2.775762666666666689e+01	 9.136342519905689130e+00	
	2.815762666666664416e+01	 9.151290147222894689e+00	
	2.855762666666665694e+01	 9.132265882305908633e+00	
	2.895762666666667684e+01	 9.019479263448303641e+00	
	2.935762666666667897e+01	 8.962406518807760847e+00	
	2.975762666666666689e+01	 8.905333797948415508e+00	
	3.015762666666664771e+01	 8.884950663457210851e+00	
	3.055762666666665694e+01	 8.857773181944367025e+00	
	3.095762666666666973e+01	 8.803418225713286915e+00	
	3.135762666666667542e+01	 8.743627793733416809e+00	
	3.175762666666666334e+01	 8.744986638677040958e+00	
	3.215762666666665126e+01	 8.776240739953784953e+00	
	3.255762666666665694e+01	 8.845543316707413339e+00	
	3.295762666666667684e+01	 8.912128138175447134e+00	
	3.335762666666668252e+01	 8.955612125922314704e+00	
	3.375762666666666689e+01	 9.003172750419651038e+00	
	3.415762666666665126e+01	 9.031709124438599190e+00	
	3.455762666666664984e+01	 8.997737250040316326e+00	
	3.495762666666666973e+01	 9.012684870562893025e+00	
	3.535762666666667542e+01	 9.095576250923315342e+00	
	3.575762666666667400e+01	 9.126830382775885653e+00	
	3.615762666666664416e+01	 9.178467655914289480e+00	
	3.655762666666665694e+01	 9.193415272190215148e+00	
	3.695762666666667684e+01	 9.164878905815236010e+00	
	3.735762666666667542e+01	 9.211080657341064182e+00	
	3.775762666666667400e+01	 9.251846854979810075e+00	
	3.815762666666665126e+01	 9.276306665290590558e+00	
	3.855762666666665694e+01	 9.208362906302049566e+00	
	3.895762666666667684e+01	 9.092858498185663052e+00	
	3.935762666666667542e+01	 8.990942874990786038e+00	
	3.975762666666666689e+01	 8.928434651204099737e+00	
	4.015762666666665126e+01	 8.932511262474690739e+00	
	4.055762666666666405e+01	 8.921640278702568594e+00	
	4.095762666666666973e+01	 8.845543320954071476e+00	
	4.135762666666666831e+01	 8.793906119159309753e+00	
	4.175762666666666689e+01	 8.788470617930641993e+00	
	4.215762666666665126e+01	 8.825160211942758792e+00	
	4.255762666666667826e+01	 8.841466699491554948e+00	
	4.295762666666665552e+01	 8.850978810292154719e+00	
	4.335762666666666121e+01	 8.789829480710203313e+00	
	4.375762666666666689e+01	 8.812930347555159472e+00	
	4.415762666666665837e+01	 8.815648099443492924e+00	
	4.455762666666668537e+01	 8.807494850573128531e+00	
	4.495762666666664842e+01	 8.879515163077854822e+00	
	4.535762666666664700e+01	 8.856414323411442524e+00	
	4.575762666666666689e+01	 8.895821668462559728e+00	
	4.615762666666665837e+01	 8.951535518898374733e+00	
	4.655762666666669247e+01	 9.011326025619226243e+00	
	4.695762666666664842e+01	 9.058886639924601525e+00	
	4.735762666666664700e+01	 9.109165012063655809e+00	
	4.775762666666666689e+01	 9.148572387690599328e+00	
	4.815762666666665126e+01	 9.156725653547546528e+00	
	4.855762666666669958e+01	 9.215157260967686170e+00	
	4.895762666666664842e+01	 9.198850782761518019e+00	
	4.935762666666663989e+01	 9.168955517085827012e+00	
	4.975762666666667400e+01	 9.144495765378742647e+00	
	5.015762666666665837e+01	 9.115959390510489868e+00	
	5.055762666666669247e+01	 9.004531624240513565e+00	
	5.095762666666665552e+01	 8.922999147427425726e+00	
	5.135762666666663279e+01	 8.845543315858108713e+00	
	5.175762666666667400e+01	 8.792547230899877775e+00	
	5.215762666666666547e+01	 8.705579334393739543e+00	
	5.255762666666669958e+01	 8.678401864771487340e+00	
	5.295762666666665552e+01	 8.625405806991778945e+00	
	5.335762666666663989e+01	 8.618611432791581706e+00	
	5.375762666666667400e+01	 8.626764665524689235e+00	
	5.415762666666665837e+01	 8.717809188589363600e+00	
	5.455762666666669958e+01	 8.788470607738695151e+00	
	5.495762666666665552e+01	 8.817006963921720342e+00	
	5.535762666666663989e+01	 8.808853727791287724e+00	
	5.575762666666667400e+01	 8.874079672041112588e+00	
	5.615762666666665837e+01	 8.901257172239233739e+00	
	5.655762666666669247e+01	 8.947458881298594235e+00	
	5.695762666666665552e+01	 8.947458885545259477e+00	
	5.735762666666663989e+01	 8.944741129410260783e+00	
	5.775762666666667400e+01	 8.925716912055698060e+00	
	5.815762666666665837e+01	 8.952894398664533071e+00	
	5.855762666666669247e+01	 8.970559766828792192e+00	
	5.895762666666665552e+01	 8.980071881876035889e+00	
	5.935762666666663989e+01	 8.959688757576820706e+00	
	5.975762666666667400e+01	 8.928434632518865044e+00	
	6.015762666666665837e+01	 8.902616016333560367e+00	
	6.055762666666667826e+01	 8.855055433453351554e+00	
	6.095762666666665552e+01	 8.861849804256216601e+00	
	6.135762666666663989e+01	 8.814289214581386034e+00	
	6.175762666666668110e+01	 8.788470614533324010e+00	
	6.215762666666665837e+01	 8.781676264114352648e+00	
	6.255762666666668537e+01	 8.719168073451491807e+00	
